iter	MultiClass
0	0.6670786837
1	0.6431497595
2	0.6216417766
3	0.6011429401
4	0.5829060171
5	0.565697033
6	0.5504592888
7	0.5346978074
8	0.5200388364
9	0.5071345164
10	0.4948136666
11	0.4843943069
12	0.4730650555
13	0.4637075403
14	0.453980378
15	0.4449838004
16	0.4368292659
17	0.4284348382
18	0.421073591
19	0.4143627527
20	0.4072829715
21	0.4010753923
22	0.3952794018
23	0.3898641497
24	0.3848222072
25	0.3792103691
26	0.3741216846
27	0.3688698937
28	0.3642240931
29	0.3594735336
30	0.3550242021
31	0.3515782158
32	0.3480745016
33	0.344192057
34	0.3407356575
35	0.3372828426
36	0.3344722998
37	0.331906528
38	0.328841057
39	0.326468735
40	0.3238116681
41	0.3213563789
42	0.3189207392
43	0.3169078767
44	0.314307137
45	0.3122469603
46	0.3103507917
47	0.3083710666
48	0.3066825507
49	0.3053509142
50	0.3033823978
51	0.3012192847
52	0.3000411915
53	0.2980677609
54	0.2963170765
55	0.2947183703
56	0.2930861162
57	0.2919232179
58	0.2909841019
59	0.289479644
60	0.2881009368
61	0.2869287015
62	0.2859107992
63	0.2848283429
64	0.2836954108
65	0.2831046462
66	0.2820788326
67	0.2811099582
68	0.2802402228
69	0.2793372906
70	0.2783842892
71	0.2775806506
72	0.2767495278
73	0.2757858482
74	0.2747788844
75	0.2737976447
76	0.2730355173
77	0.2720583619
78	0.271342198
79	0.2707543142
80	0.2701054583
81	0.2694184052
82	0.2684139101
83	0.2678145583
84	0.2668697269
85	0.2662688995
86	0.2658453141
87	0.2650856936
88	0.2643793435
89	0.263950032
90	0.2634590158
91	0.2629263222
92	0.2622944533
93	0.2617879491
94	0.2613079372
95	0.2608182481
96	0.2601221249
97	0.2594384585
98	0.2587885858
99	0.2582674823
100	0.2579479505
101	0.2575694221
102	0.2571064186
103	0.2565583914
104	0.2560029017
105	0.2554392316
106	0.2547805467
107	0.2543874388
108	0.2539762394
109	0.2537500643
110	0.2533510471
111	0.2530425212
112	0.2524884263
113	0.2519160099
114	0.2516797741
115	0.2513570233
116	0.2509608157
117	0.2506203855
118	0.2502737936
119	0.2497563169
120	0.2493944626
121	0.2489652802
122	0.2486577746
123	0.2482553423
124	0.2480778736
125	0.2478139761
126	0.2475955021
127	0.2470997382
128	0.246822586
129	0.2464532126
130	0.2462613104
131	0.2459868295
132	0.2456323059
133	0.2454130253
134	0.2451574985
135	0.2448740123
136	0.2446214984
137	0.2443684912
138	0.2440728506
139	0.2437489181
140	0.2435242296
141	0.2432608852
142	0.2429757713
143	0.2427130254
144	0.2424568086
145	0.2423616488
146	0.2422465989
147	0.2419565233
148	0.2417247279
149	0.241490129
150	0.2413686219
151	0.2410948057
152	0.2409203943
153	0.2407450795
154	0.2405447502
155	0.2403175718
156	0.240138275
157	0.2399402661
158	0.2398178605
159	0.2396867842
160	0.239442512
161	0.2392549116
162	0.2390310982
163	0.2389362268
164	0.2387814692
165	0.2386111831
166	0.2384176141
167	0.2381888038
168	0.2380337236
169	0.2379242598
170	0.2377966019
171	0.2377027144
172	0.2375957147
173	0.2373979857
174	0.237265709
175	0.2371623256
176	0.2370818758
177	0.2368793066
178	0.2366100665
179	0.2365101629
180	0.236431387
181	0.236233662
182	0.2360133783
183	0.2358103913
184	0.2356786525
185	0.2355841424
186	0.2353922309
187	0.2351753704
188	0.2349891032
189	0.2348636901
190	0.2346707827
191	0.2344759388
192	0.2343016717
193	0.2341833975
194	0.2340560789
195	0.2338084712
196	0.2337378408
197	0.2335818946
198	0.2333653924
199	0.2332194124
200	0.2331498862
201	0.2329654738
202	0.2328111131
203	0.2326509713
204	0.2325665215
205	0.232426965
206	0.2322134079
207	0.2320174601
208	0.2319350221
209	0.231823677
210	0.2316667549
211	0.2315325255
212	0.2314083791
213	0.2313081618
214	0.2311939232
215	0.2310964239
216	0.2310210798
217	0.2309291877
218	0.2308611988
219	0.2307195279
220	0.2305232303
221	0.2304209012
222	0.2302352872
223	0.2300384502
224	0.2298978123
225	0.2297524282
226	0.2296369602
227	0.2294853793
228	0.2293480917
229	0.2292364209
230	0.229147495
231	0.2290069789
232	0.2289626074
233	0.2288920619
234	0.2287731137
235	0.2285918768
236	0.22835896
237	0.2281475773
238	0.228013394
239	0.2278391338
240	0.2277056147
241	0.2276432235
242	0.2275597062
243	0.2274628083
244	0.2273644181
245	0.227289554
246	0.2272308135
247	0.2271384974
248	0.2270454924
249	0.2269497762
250	0.2268066635
251	0.2266927988
252	0.2266341545
253	0.2265512866
254	0.2264586601
255	0.2263752373
256	0.2262639663
257	0.2260882159
258	0.2259850315
259	0.2258837054
260	0.2257553786
261	0.2256305405
262	0.2255457765
263	0.2254494041
264	0.2253163315
265	0.2252157089
266	0.2251689066
267	0.2250439848
268	0.224965643
269	0.2248567598
270	0.2247363226
271	0.2245577209
272	0.2244409604
273	0.2243236179
274	0.2242338703
275	0.2241337315
276	0.2240542228
277	0.2239790873
278	0.2239215866
279	0.2238675481
280	0.223720368
281	0.2235908907
282	0.2235064802
283	0.2234351875
284	0.2233227737
285	0.2232712565
286	0.2232089925
287	0.2231038515
288	0.2230421956
289	0.2229267816
290	0.2228592399
291	0.2227922159
292	0.2226184477
293	0.2225662975
294	0.2224263111
295	0.222379072
296	0.2223029707
297	0.2222002214
298	0.2221445424
299	0.2220585076
300	0.2219826983
301	0.2219172996
302	0.2217890176
303	0.2217208933
304	0.2215977235
305	0.2214811637
306	0.2214037032
307	0.2213421011
308	0.2212853279
309	0.2211477223
310	0.2210633154
311	0.2209490559
312	0.2208802304
313	0.2207838854
314	0.2206983157
315	0.2206206462
316	0.2205317954
317	0.220465499
318	0.2203252204
319	0.2202610686
320	0.2201750141
321	0.2201317427
322	0.2200713333
323	0.2200042744
324	0.2198826724
325	0.2197908526
326	0.219723513
327	0.2196503558
328	0.2195962707
329	0.2195490144
330	0.2194606909
331	0.2194072253
332	0.2193514863
333	0.2193151107
334	0.2192319232
335	0.2191780472
336	0.2190827322
337	0.2189823633
338	0.2189298786
339	0.2188020661
340	0.2187585575
341	0.218660835
342	0.2186075643
343	0.2185347685
344	0.2184813946
345	0.2183946793
346	0.2183146819
347	0.2182223738
348	0.2181107691
349	0.2180890716
350	0.2180433433
351	0.2180073972
352	0.2179655362
353	0.217933579
354	0.2178626459
355	0.217781098
356	0.2177404357
357	0.2176921369
358	0.2176154941
359	0.217542634
360	0.2174932095
361	0.2174140645
362	0.2173737895
363	0.2172931534
364	0.2172118101
365	0.2171627091
366	0.2170928873
367	0.2170324425
368	0.2169575317
369	0.2168839517
370	0.2168284349
371	0.216755627
372	0.2166944172
373	0.2166385884
374	0.2165962782
375	0.2165307882
376	0.2164585196
377	0.2164009153
378	0.2163546069
379	0.216311352
380	0.2162338292
381	0.2161643272
382	0.216119673
383	0.2160837995
384	0.2160167836
385	0.2159645615
386	0.2158836139
387	0.2158102858
388	0.215757981
389	0.2156919739
390	0.2156268975
391	0.2155822479
392	0.2155423651
393	0.2154739897
394	0.2154369341
395	0.2153297432
396	0.215258774
397	0.2151762152
398	0.215124655
399	0.2150988326
400	0.2150246619
401	0.2149556162
402	0.2149194707
403	0.2148385566
404	0.2147973692
405	0.2147559237
406	0.2147146864
407	0.2146897646
408	0.2146011048
409	0.2145622882
410	0.2145077863
411	0.214451778
412	0.2143674126
413	0.214290838
414	0.2142360612
